MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,88,342,19,103,1990-12-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,11,72,4,103,1990-10-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,0,18,1,156,1990-02-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,11,18,1,156,1990-03-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,2,72,4,156,1990-01-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,18,1,156,1990-09-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,36,2,156,1990-11-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,88,342,19,103,1990-12-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,11,72,4,103,1990-10-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,0,18,1,156,1990-02-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,11,18,1,156,1990-03-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,2,72,4,156,1990-01-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,18,1,156,1990-09-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,36,2,156,1990-11-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,8,18,1,228,1990-02-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,88,342,19,103,1990-12-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,11,72,4,103,1990-10-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,0,18,1,156,1990-02-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,11,18,1,156,1990-03-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,2,72,4,156,1990-01-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,18,1,156,1990-09-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,36,2,156,1990-11-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,8,18,1,228,1990-02-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,453,3128,23,228,1990-01-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,784,2720,20,228,1990-02-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,749,2992,22,228,1990-03-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,11,18,1,228,1990-04-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,349,851,23,116,1990-01-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,1376,2898,161,116,1990-01-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,444,1110,30,116,1990-10-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,1949,3261,187,116,1990-06-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,88,342,19,103,1990-12-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,88,342,19,103,1990-12-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MHK,AMW,Manhattan, KS,Ames, IA,21,30,1,254,2008-10-01,122049,86219,39.140998840332,-96.6707992553711,NA,NA
EUG,RDM,Eugene, OR,Bend, OR,41,396,22,103,1990-11-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,88,342,19,103,1990-12-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
EUG,RDM,Eugene, OR,Bend, OR,11,72,4,103,1990-10-01,284093,76034,44.1245994567871,-123.21199798584,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,0,18,1,156,1990-02-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,11,18,1,156,1990-03-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,2,72,4,156,1990-01-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,18,1,156,1990-09-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
MFR,RDM,Medford, OR,Bend, OR,7,36,2,156,1990-11-01,147300,76034,42.3741989135742,-122.873001098633,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,8,18,1,228,1990-02-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,453,3128,23,228,1990-01-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,784,2720,20,228,1990-02-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,749,2992,22,228,1990-03-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
SEA,RDM,Seattle, WA,Bend, OR,11,18,1,228,1990-04-01,5154164,76034,47.4490013122559,-122.30899810791,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,349,851,23,116,1990-01-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,1376,2898,161,116,1990-01-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,444,1110,30,116,1990-10-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,1949,3261,187,116,1990-06-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,381,814,22,116,1990-02-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
PDX,RDM,Portland, OR,Bend, OR,1559,2772,154,116,1990-02-01,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
